event_id,dataset,date,disp_mm,n_pairs
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-07-17,15.180505867804214,5
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-07-22,9.882888389121554,8
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-07-23,4.219289311028925,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-07-28,-73.90749078969735,3
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-07-29,-11.557874152811053,4
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-08-03,-73.64576021743216,6
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-08-04,-33.092126452915544,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-08-09,-80.50995826536025,3
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-08-10,-34.13216115075805,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-08-15,-32.30529839354965,6
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-08-16,20.350724231947684,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-08-21,37.148114250952965,3
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-08-22,13.326287548410118,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-08-27,75.25042050002693,3
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-08-28,28.182898937320573,4
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-09-02,11.357099842138808,3
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-09-03,28.055937865580155,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-09-08,22.196028748932434,3
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-09-09,25.505739562608838,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-09-14,-25.395964036560798,6
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-09-15,6.1140384354186015,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-09-20,-24.66641744404657,3
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-09-21,-10.948616903255976,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-09-26,27.687019484040928,3
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-09-27,-13.513284965541352,4
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-10-02,-1.4732814018104903,3
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-10-03,8.002375392445032,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-10-08,84.3584927846551,3
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-10-09,24.46360941964722,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-10-14,86.07311865754112,3
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2017-12-13,-15.143217474558904,1
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2017-12-25,-10.975665651209724,1
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2017-12-31,-9.36609996054827,2
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-01-06,-2.557467865404029,1
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-01-12,-11.709765361661166,1
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-02-04,-17.121917869878505,1
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-02-10,-87.1190048069047,1
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-02-16,-115.52251278550902,2
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-02-17,77.51563247536713,1
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-02-22,-45.41257928439965,1
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-02-28,-60.003388988134496,1
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-03-01,-44.52299859909723,1
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-03-06,118.40141008607621,1
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-03-12,47.2439477751079,1
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-03-18,-23.597887851546574,1
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-03-24,-57.648235032746825,1
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-03-25,154.17991192352451,1
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-03-30,-69.69722558151807,2
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-04-05,-70.86599115983665,4
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-04-06,-15.816753556130388,1
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-04-11,24.37824635573064,6
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-04-12,-5.1680626354901475,1
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-04-17,11.618207045805724,9
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-04-18,13.02139185967864,2
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-04-23,-2.421367125436145,7
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-04-24,3.696994086904695,3
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-04-29,4.164597666926227,7
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-04-30,-4.4266046484093655,3
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-05-05,57.35540552774397,4
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-05-06,12.44217608016735,3
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-05-11,76.4998954640189,3
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-05-12,-22.21435389034348,2
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-05-17,58.284487986010475,3
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-05-18,-54.90154241840844,1
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-05-23,-53.731342671118874,2
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-05-24,4.04222288222918,1
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-05-29,55.88485583874769,2
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-05-30,-2.340625886890959,1
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-06-04,52.12779013137103,2
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-06-05,19.526138936653417,1
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-06-11,6.080743760502699,2
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-06-16,-156.98541388957278,2
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-06-17,-24.75319519666543,2
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-06-22,-55.68037145825305,4
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-06-23,-7.703451195809292,2
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-06-28,-77.98375702095281,4
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-06-29,0.8373198628366412,2
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-07-04,-21.44440522055519,4
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-07-05,-0.3963350169997515,2
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-07-10,-12.149722491700942,5
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-07-11,7.249601861871118,2
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-07-16,38.86965825169455,4
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-07-17,22.838094456426646,4
2018-08-10_tanger_outlets_lancaster,ARIA_S1_GUNW,2018-07-22,31.149589860194414,7
